                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.356,                 1.1654,                 1.6522,                0.85551,                0.65248,                 0.7347,                0.44856,                 1.4254,                 1.0054,                 1.7519,               0.002773,               0.002773,               0.002773
                     75,                 1.3563,                 1.1561,                 1.6469,                0.86216,                 0.6498,                0.73734,                 0.4503,                 1.4177,                 1.0013,                 1.7481,               0.002674,               0.002674,               0.002674
                     76,                  1.334,                 1.1376,                 1.6318,                0.84536,                 0.6651,                0.73924,                0.45023,                 1.4162,                0.98987,                 1.7433,               0.002575,               0.002575,               0.002575
                     77,                 1.3311,                 1.1184,                  1.634,                0.84857,                 0.6614,                0.73979,                0.45355,                 1.4156,                0.99124,                 1.7438,               0.002476,               0.002476,               0.002476
                     78,                 1.3372,                 1.1267,                 1.6333,                0.86427,                0.64893,                0.73772,                0.45281,                 1.4179,                0.98908,                 1.7463,               0.002377,               0.002377,               0.002377
                     79,                 1.3295,                 1.1193,                 1.6221,                0.86074,                0.65599,                0.73936,                0.45304,                 1.4179,                0.98299,                 1.7445,               0.002278,               0.002278,               0.002278
                     80,                 1.3234,                   1.12,                 1.6218,                0.86621,                0.65509,                0.74257,                0.45689,                 1.4106,                0.97689,                 1.7394,               0.002179,               0.002179,               0.002179
                     81,                  1.315,                 1.1092,                  1.615,                0.85854,                0.65745,                0.74184,                0.45816,                 1.4004,                0.97321,                 1.7326,                0.00208,                0.00208,                0.00208
                     82,                 1.3104,                  1.113,                 1.6103,                0.86108,                0.65917,                 0.7449,                0.45863,                 1.4025,                 0.9739,                 1.7317,               0.001981,               0.001981,               0.001981
                     83,                 1.3091,                 1.1043,                 1.6048,                0.86662,                0.66099,                0.74405,                0.45721,                 1.4014,                0.97221,                 1.7298,               0.001882,               0.001882,               0.001882
                     84,                 1.3074,                 1.1013,                 1.6082,                0.85807,                0.66205,                0.74557,                0.45804,                 1.4019,                0.97693,                 1.7339,               0.001783,               0.001783,               0.001783
                     85,                  1.292,                 1.0787,                 1.5962,                0.85336,                0.66474,                0.74458,                0.45861,                 1.3975,                 0.9709,                 1.7284,               0.001684,               0.001684,               0.001684
                     86,                 1.2894,                 1.0735,                 1.5913,                0.85704,                0.66349,                 0.7445,                0.45894,                 1.3961,                0.96582,                 1.7266,               0.001585,               0.001585,               0.001585
                     87,                 1.2894,                 1.0778,                 1.5935,                0.87117,                0.66145,                0.74695,                0.46201,                 1.3934,                0.96533,                 1.7244,               0.001486,               0.001486,               0.001486
                     88,                 1.2821,                 1.0784,                 1.5869,                0.86515,                0.66355,                0.74876,                0.46277,                  1.391,                0.96255,                  1.722,               0.001387,               0.001387,               0.001387
                     89,                 1.2882,                 1.0757,                 1.5933,                 0.8575,                0.66768,                0.74806,                0.46286,                 1.3898,                 0.9624,                 1.7187,               0.001288,               0.001288,               0.001288
                     90,                 1.2859,                  1.061,                 1.5813,                0.85769,                0.66978,                0.74594,                0.46331,                 1.3869,                0.95957,                 1.7151,               0.001189,               0.001189,               0.001189
                     91,                 1.2516,                 0.9406,                 1.6127,                0.84942,                0.67208,                0.74592,                 0.4629,                 1.3905,                0.95836,                 1.7175,                0.00109,                0.00109,                0.00109
                     92,                  1.236,                0.91982,                 1.5989,                0.84477,                0.67822,                0.74964,                0.46598,                 1.3874,                0.95241,                 1.7148,               0.000991,               0.000991,               0.000991
                     93,                 1.2163,                0.90733,                 1.5897,                0.85635,                0.67334,                0.74929,                0.46687,                  1.384,                0.95091,                 1.7142,               0.000892,               0.000892,               0.000892
                     94,                 1.2023,                0.89416,                  1.578,                0.85184,                  0.676,                0.75052,                0.46762,                 1.3799,                0.94662,                 1.7122,               0.000793,               0.000793,               0.000793
                     95,                 1.1969,                0.88344,                 1.5669,                0.84864,                0.68059,                0.75066,                0.46868,                 1.3783,                0.94441,                 1.7111,               0.000694,               0.000694,               0.000694
                     96,                 1.1873,                0.87727,                 1.5631,                0.84477,                0.68152,                0.75045,                0.46928,                 1.3753,                0.94323,                  1.709,               0.000595,               0.000595,               0.000595
                     97,                 1.1741,                0.87444,                 1.5519,                0.86344,                0.67195,                0.75091,                0.47024,                  1.372,                0.93935,                 1.7053,               0.000496,               0.000496,               0.000496
                     98,                 1.1667,                0.86243,                 1.5495,                0.86752,                0.67001,                0.75197,                 0.4712,                  1.372,                0.93707,                 1.7044,               0.000397,               0.000397,               0.000397
                     99,                 1.1661,                0.86422,                 1.5513,                0.86866,                0.66962,                0.75303,                0.47239,                 1.3705,                0.93426,                  1.703,               0.000298,               0.000298,               0.000298
                    100,                 1.1659,                0.86464,                 1.5478,                0.86731,                0.67021,                0.75386,                0.47316,                 1.3717,                0.93282,                 1.7032,               0.000199,               0.000199,               0.000199
