                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  1.434,                 1.6913,                  2.721,                0.76942,                0.59058,                 0.6522,                0.37856,                 1.3975,                 1.4196,                 2.8336,               0.006172,               0.006172,               0.006172
                    118,                 1.4373,                 1.6952,                 2.7214,                0.77962,                0.58786,                0.65412,                0.37954,                  1.397,                 1.4193,                  2.833,               0.006139,               0.006139,               0.006139
                    119,                 1.4187,                 1.6705,                 2.7036,                0.78483,                0.58337,                  0.654,                0.37992,                 1.3966,                 1.4186,                 2.8327,               0.006106,               0.006106,               0.006106
                    120,                 1.4275,                 1.6768,                 2.7034,                0.79078,                0.58438,                 0.6545,                 0.3813,                 1.3952,                 1.4175,                 2.8311,               0.006073,               0.006073,               0.006073
                    121,                 1.4226,                 1.6765,                 2.7115,                0.78569,                0.58666,                0.65524,                0.38146,                 1.3938,                 1.4152,                 2.8307,                0.00604,                0.00604,                0.00604
                    122,                 1.4313,                 1.6785,                 2.7187,                0.78964,                0.59019,                0.65801,                0.38217,                 1.3931,                 1.4128,                 2.8298,               0.006007,               0.006007,               0.006007
                    123,                  1.435,                 1.6874,                  2.713,                0.78717,                 0.5895,                0.65749,                0.38203,                 1.3933,                 1.4121,                 2.8296,               0.005974,               0.005974,               0.005974
                    124,                 1.4153,                 1.6569,                  2.699,                0.78639,                0.58953,                0.65817,                0.38229,                 1.3924,                  1.411,                 2.8286,               0.005941,               0.005941,               0.005941
                    125,                 1.4155,                 1.6686,                 2.7087,                0.78609,                0.59228,                0.65985,                0.38285,                 1.3904,                 1.4075,                 2.8263,               0.005908,               0.005908,               0.005908
                    126,                 1.4141,                   1.66,                 2.6965,                0.78681,                0.59307,                0.66005,                 0.3834,                 1.3886,                 1.4021,                 2.8244,               0.005875,               0.005875,               0.005875
                    127,                 1.4169,                 1.6465,                 2.6972,                0.79113,                0.59297,                0.66091,                0.38378,                 1.3871,                 1.3988,                 2.8216,               0.005842,               0.005842,               0.005842
                    128,                 1.4084,                 1.6641,                 2.6957,                0.78729,                0.59566,                0.66051,                0.38396,                 1.3856,                 1.3956,                 2.8209,               0.005809,               0.005809,               0.005809
                    129,                 1.4152,                 1.6594,                 2.7142,                0.78864,                0.59575,                0.66066,                0.38465,                  1.385,                 1.3943,                 2.8193,               0.005776,               0.005776,               0.005776
                    130,                 1.4125,                 1.6526,                  2.697,                0.79235,                0.59573,                0.66101,                0.38544,                  1.384,                 1.3906,                 2.8177,               0.005743,               0.005743,               0.005743
                    131,                 1.4023,                 1.6317,                 2.6872,                0.79096,                0.59553,                0.66027,                0.38597,                 1.3826,                 1.3874,                 2.8172,                0.00571,                0.00571,                0.00571
                    132,                 1.4116,                 1.6494,                 2.6818,                0.78844,                0.59552,                  0.661,                0.38661,                 1.3822,                 1.3855,                 2.8153,               0.005677,               0.005677,               0.005677
                    133,                 1.4071,                 1.6378,                 2.6885,                0.78862,                0.59762,                0.66234,                0.38711,                 1.3812,                  1.383,                 2.8141,               0.005644,               0.005644,               0.005644
                    134,                  1.397,                 1.6341,                 2.6759,                0.78948,                 0.5953,                0.66285,                0.38776,                 1.3801,                 1.3803,                 2.8121,               0.005611,               0.005611,               0.005611
                    135,                 1.4014,                 1.6305,                 2.6977,                0.79273,                0.59481,                0.66376,                 0.3887,                 1.3791,                 1.3783,                 2.8105,               0.005578,               0.005578,               0.005578
                    136,                 1.3926,                 1.6242,                  2.677,                0.78825,                 0.5952,                0.66358,                0.38901,                 1.3778,                 1.3774,                 2.8082,               0.005545,               0.005545,               0.005545
                    137,                  1.393,                 1.6273,                 2.6807,                0.79097,                0.59557,                0.66303,                0.38935,                 1.3785,                  1.375,                 2.8086,               0.005512,               0.005512,               0.005512
                    138,                 1.4007,                 1.6223,                 2.6846,                0.78918,                0.59877,                0.66413,                0.38987,                 1.3782,                 1.3732,                 2.8078,               0.005479,               0.005479,               0.005479
                    139,                  1.401,                 1.6252,                 2.6752,                0.78807,                0.59958,                0.66422,                0.39051,                 1.3775,                  1.372,                 2.8068,               0.005446,               0.005446,               0.005446
                    140,                 1.3977,                 1.6264,                 2.6736,                0.79245,                0.60041,                0.66621,                0.39103,                 1.3764,                 1.3704,                 2.8054,               0.005413,               0.005413,               0.005413
                    141,                 1.3944,                 1.6103,                 2.6655,                0.79126,                0.60113,                0.66675,                0.39123,                 1.3755,                 1.3688,                 2.8039,                0.00538,                0.00538,                0.00538
                    142,                 1.3991,                 1.6194,                 2.6801,                0.79686,                0.59922,                0.66697,                0.39166,                 1.3752,                 1.3678,                 2.8025,               0.005347,               0.005347,               0.005347
                    143,                 1.3954,                 1.6389,                 2.6773,                    0.8,                0.59847,                 0.6677,                0.39178,                 1.3748,                 1.3677,                 2.8012,               0.005314,               0.005314,               0.005314
                    144,                 1.3966,                 1.6235,                 2.6814,                0.79731,                 0.5994,                0.66758,                0.39173,                 1.3742,                 1.3656,                 2.7993,               0.005281,               0.005281,               0.005281
                    145,                 1.3996,                 1.6148,                 2.6701,                0.79847,                0.59665,                0.66802,                0.39275,                 1.3737,                 1.3626,                 2.7981,               0.005248,               0.005248,               0.005248
                    146,                 1.3875,                 1.6154,                 2.6715,                0.79993,                0.59836,                0.66873,                0.39314,                 1.3735,                 1.3606,                 2.7977,               0.005215,               0.005215,               0.005215
                    147,                 1.3891,                 1.5897,                 2.6668,                 0.7998,                0.60084,                0.66939,                0.39317,                 1.3733,                 1.3595,                 2.7972,               0.005182,               0.005182,               0.005182
                    148,                 1.3938,                 1.6057,                 2.6714,                0.80036,                0.60043,                 0.6697,                0.39325,                 1.3732,                 1.3584,                 2.7963,               0.005149,               0.005149,               0.005149
                    149,                 1.3695,                 1.5792,                 2.6465,                0.80469,                 0.5991,                0.66969,                0.39361,                 1.3729,                 1.3565,                 2.7959,               0.005116,               0.005116,               0.005116
                    150,                  1.376,                 1.5745,                 2.6506,                0.80642,                0.60035,                0.67043,                0.39468,                 1.3722,                  1.355,                 2.7951,               0.005083,               0.005083,               0.005083
                    151,                 1.3861,                 1.5894,                 2.6675,                0.80351,                0.60008,                0.67026,                0.39505,                 1.3716,                 1.3537,                 2.7942,                0.00505,                0.00505,                0.00505
                    152,                 1.3788,                 1.5782,                 2.6456,                0.80314,                0.59986,                0.67068,                0.39563,                 1.3709,                 1.3528,                 2.7931,               0.005017,               0.005017,               0.005017
