                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4275,                 1.2831,                 1.7237,                0.83119,                0.62332,                0.70533,                0.41467,                 1.5017,                 1.1054,                 1.8352,              0.0045842,              0.0045842,              0.0045842
                     55,                 1.4214,                 1.2662,                 1.7166,                0.81796,                  0.625,                 0.7062,                0.41374,                 1.5101,                 1.1009,                 1.8291,              0.0044296,              0.0044296,              0.0044296
                     56,                  1.421,                 1.2664,                 1.7161,                0.81923,                0.63272,                0.71015,                0.41917,                 1.4975,                 1.0939,                 1.8261,              0.0042756,              0.0042756,              0.0042756
                     57,                 1.4132,                 1.2474,                 1.7058,                0.83262,                0.63581,                0.71284,                0.41997,                 1.4914,                 1.0805,                 1.8151,              0.0041225,              0.0041225,              0.0041225
                     58,                 1.3973,                 1.2374,                 1.6897,                0.83575,                0.64418,                0.72076,                 0.4266,                 1.4775,                 1.0786,                 1.7988,              0.0039702,              0.0039702,              0.0039702
                     59,                 1.3995,                 1.2387,                 1.6901,                0.82048,                0.63691,                0.71533,                0.42665,                 1.4791,                 1.0697,                 1.7996,               0.003819,               0.003819,               0.003819
                     60,                 1.4039,                 1.2328,                 1.6928,                0.82969,                0.64501,                0.71968,                0.42883,                 1.4683,                 1.0669,                 1.8011,               0.003669,               0.003669,               0.003669
                     61,                 1.3931,                 1.2193,                  1.684,                0.82921,                0.64224,                0.72038,                0.42654,                 1.4751,                 1.0612,                 1.7946,              0.0035204,              0.0035204,              0.0035204
                     62,                 1.3813,                 1.2027,                 1.6762,                0.82804,                0.65464,                0.72397,                0.43167,                 1.4746,                 1.0495,                 1.7952,              0.0033732,              0.0033732,              0.0033732
                     63,                 1.3775,                  1.198,                 1.6738,                0.81455,                0.65362,                0.72439,                 0.4304,                 1.4745,                 1.0569,                 1.7971,              0.0032278,              0.0032278,              0.0032278
