                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.7573,                 1.4847,                 1.6664,                0.53791,                0.46654,                 0.4698,                0.22986,                 1.7356,                 1.3229,                 1.6543,              3.862e-05,              3.862e-05,              3.862e-05
                     64,                 1.7513,                  1.478,                 1.6596,                0.55607,                0.46289,                0.47252,                 0.2329,                 1.7206,                 1.3165,                 1.6536,              3.763e-05,              3.763e-05,              3.763e-05
                     65,                 1.7383,                 1.4725,                 1.6554,                0.55344,                0.46241,                0.47248,                0.23165,                 1.7301,                 1.3137,                 1.6511,              3.664e-05,              3.664e-05,              3.664e-05
                     66,                 1.7548,                 1.4869,                 1.6637,                0.54792,                0.46522,                0.47211,                0.23072,                  1.731,                 1.3139,                  1.652,              3.565e-05,              3.565e-05,              3.565e-05
                     67,                  1.757,                 1.4926,                 1.6621,                0.53988,                0.46178,                0.46844,                0.23089,                 1.7242,                  1.311,                 1.6487,              3.466e-05,              3.466e-05,              3.466e-05
                     68,                 1.7227,                 1.4663,                 1.6448,                0.54517,                0.45671,                0.46829,                0.22829,                 1.7409,                 1.3221,                 1.6503,              3.367e-05,              3.367e-05,              3.367e-05
                     69,                 1.7403,                  1.469,                 1.6524,                 0.5447,                0.45756,                0.46625,                0.22435,                   1.75,                 1.3312,                  1.653,              3.268e-05,              3.268e-05,              3.268e-05
                     70,                 1.7386,                 1.4736,                  1.651,                0.53747,                0.46327,                0.46575,                0.22707,                 1.7378,                 1.3216,                 1.6514,              3.169e-05,              3.169e-05,              3.169e-05
                     71,                 1.7242,                 1.4494,                 1.6425,                0.56169,                0.45922,                0.47296,                0.23279,                  1.728,                 1.3045,                 1.6452,               3.07e-05,               3.07e-05,               3.07e-05
                     72,                 1.7166,                 1.4651,                 1.6451,                0.57067,                0.45689,                0.47794,                0.23256,                 1.7378,                  1.313,                 1.6494,              2.971e-05,              2.971e-05,              2.971e-05
                     73,                 1.7325,                 1.4687,                 1.6486,                0.55966,                0.45829,                0.47801,                0.23394,                 1.7359,                  1.309,                 1.6466,              2.872e-05,              2.872e-05,              2.872e-05
                     74,                 1.7224,                 1.4616,                 1.6437,                0.55355,                 0.4558,                0.47316,                0.23186,                 1.7328,                 1.3122,                 1.6441,              2.773e-05,              2.773e-05,              2.773e-05
                     75,                 1.7364,                 1.4657,                 1.6549,                0.55068,                0.46007,                0.47387,                0.23256,                 1.7244,                 1.3026,                 1.6418,              2.674e-05,              2.674e-05,              2.674e-05
                     76,                 1.7248,                 1.4581,                 1.6345,                0.56151,                0.46033,                0.47603,                 0.2343,                 1.7242,                 1.3006,                 1.6409,              2.575e-05,              2.575e-05,              2.575e-05
                     77,                 1.7157,                 1.4373,                 1.6381,                0.55868,                0.46064,                  0.478,                0.23542,                 1.7232,                 1.2943,                 1.6415,              2.476e-05,              2.476e-05,              2.476e-05
                     78,                 1.7302,                 1.4627,                 1.6479,                0.55531,                0.45991,                 0.4764,                0.23396,                 1.7255,                 1.3002,                 1.6403,              2.377e-05,              2.377e-05,              2.377e-05
